year,region.en,Bottom Otter Trawl,Driftnet,Gillnet,Handline,Jigger,Longline,Miscellaneous,Seine,Shrimp Beam Trawl,Trap,Weir,NA
2020,Gulf,0,0,1952142,0,0,0,0,0,0,0,0,0
2020,Maritimes,7965,293,115124,61778,0,4037,722568,0,26975,246183,0,19670
2020,Newfoundland,0,0,53,83,34,717,49568,3964348,0,0,0,0
2020,Quebec,0,3123,53424,211182,135416,0,182625,75796,0,0,0,126854
2021,Gulf,0,0,1823476,0,0,0,0,0,0,0,0,159
2021,Maritimes,4303,584,37511,133656,0,9412,5327,16919,235710,537218,907,250916
2021,Newfoundland,0,0,0,862,0,0,21238,579767,0,0,0,0
2021,Quebec,0,30204,113707,171874,120309,0,140195,171381,0,0,0,111510
2022,Gulf,0,0,250,0,0,0,0,0,0,0,0,0
2022,Maritimes,3692,55,13333,0,0,680,7214,0,0,0,29700,0
2022,Newfoundland,0,0,141,0,0,0,0,0,0,0,0,0
2022,Quebec,0,0,466,0,0,0,80,0,0,68,0,0
